C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
SERINC3,0.219404052,0.18498777,RNF222,0.978807907,0.8044865,PCDH17,0.980326499,0.56502247,ZNHIT6,0.172078344,0.9191256,ITLN1,0.871612202,0.9209452,NAPRT,0.082016509,0.49177796,DMXL1,0.350683372,1.1613443,USP14,0.227950891,0.5045013,YTHDF2,0.001878526,0.66137725
IRAK4,0.219465089,0.3060641,C11orf95,0.978807907,0.7759024,ZGLP1,0.980326499,0.7700735,ZNF37A,0.172968244,0.8520249,ZFP1,0.871737473,0.97509617,TRIB2,0.082214137,0.72735286,TRAPPC3,0.35125596,0.34387767,IKBKG,0.227974939,0.90074474,VAMP7,0.001882464,1.3511621
LEO1,0.219615701,0.5341689,ST3GAL6,0.978807907,0.9657865,ADH1C,0.980326499,0.7424587,GPALPP1,0.173324216,0.8410504,CLUAP1,0.871847088,0.4118359,TSTD1,0.082311154,0.36391994,PDE6D,0.351524929,0.6677509,TAF7,0.228095206,0.35856056,GOT2,0.001883121,1.4438161
TOR2A,0.219664564,0.54477125,EML5,0.978807907,1.0564231,CDH3,0.980326499,0.5729288,MDM1,0.173875863,0.9253485,IGSF22,0.872160287,0.46641564,TRMU,0.082388834,1.1389194,HINT2,0.351595117,0.30280045,MRPL36,0.228143325,0.416784,RAF1,0.00188334,0.8294757
SCYL1,0.220378037,0.34588698,PLXNA4,0.978825273,0.7749894,OAZ3,0.980346218,0.7458052,TRIM44,0.174190317,0.58298117,C17orf100,0.872363877,0.94275975,WIPF2,0.082419923,0.73924935,IFT52,0.351653613,0.9718687,ARMC8,0.228239585,0.77651453,RAPGEF1,0.001887727,1.4873477
STARD3,0.220569939,0.294856,RNF217,0.978825273,0.7169769,OSMR,0.980346218,0.57880807,KLHL9,0.174347703,1.2854881,BTBD3,0.872504829,3.0963123,LMAN1,0.082965519,0.35596222,DTNBP1,0.35188766,0.48710296,GLT8D1,0.228998646,0.67114294,TMEM165,0.001898074,0.7256612
CALHM2,0.22153534,0.30407,SLIT2,0.978825273,0.7812431,HPDL,0.980346218,0.53326094,CREBL2,0.174576817,0.61976755,CDRT4,0.872536153,2.921255,HSPA4,0.083439424,0.60340333,EIF3A,0.35188766,0.22108369,MPG,0.229143432,0.40120474,DCAF11,0.001900724,0.9403428
DR1,0.221592704,0.15164319,PCDHGA6,0.978825273,0.733989,WFDC1,0.980346218,0.4363093,MED19,0.174734464,0.6996435,BRDT,0.872567476,2.7631176,MTF2,0.083478688,0.4110969,USP53,0.353047644,0.8695524,NIPBL,0.229288284,0.36441255,POLR2C,0.001907364,0.7146883
BEX5,0.222158724,0.6000358,SCN7A,0.97884264,0.97588444,PTPRD,0.980365937,0.45733887,MRPS26,0.174815717,0.35691804,FAM81A,0.872567476,3.0439265,RAD51C,0.083734266,0.73360026,R3HDM2,0.353329216,0.65708613,SP140,0.229396965,0.35317487,PRADC1,0.001907586,2.1511905
PEF1,0.222516095,0.2619442,EPHA10,0.97884264,0.72405285,CHRDL1,0.980365937,0.6035539,DDX39B,0.174825278,0.5854301,USP44,0.872630123,2.7345164,RFX5,0.083907632,0.9239885,ST7L,0.353834055,1.3865535,CMAS,0.22946944,0.6208199,ACOT13,0.001908473,1.1298026
USP51,0.222585974,2.0256884,TREM1,0.97884264,0.41768083,OBSL1,0.980365937,0.55105036,SLFN11,0.175093146,1.2837844,DOK6,0.872630123,2.7149913,LRRC59,0.084029951,0.75069255,CHID1,0.354186537,0.5486805,RILPL2,0.229626524,0.28110403,TKT,0.001910248,0.6511791
NUP62,0.223211473,0.2680105,MTRNR2L11,0.97884264,0.5514769,LTBP2,0.980385656,0.56711143,CLN6,0.175102719,0.98971343,ACOT13,0.87281807,0.23602028,MED4,0.084108943,0.30032066,VPS26B,0.354221798,0.72529334,EDF1,0.229699051,0.46439874,SKP2,0.001911802,2.7855089
CHCHD3,0.223269148,0.30770826,TMEM47,0.978860006,0.5135765,TIGD4,0.980405375,0.42384863,FAM111B,0.175850569,2.3527174,GALK2,0.872833733,0.35092008,CD3E,0.084707274,0.44955927,IFT27,0.354233552,0.569352,CINP,0.22973532,0.6384746,PYURF,0.00191536,0.7153619
ANKRD17,0.223524694,0.3102698,RBFOX3,0.978860006,0.53303355,TEX14,0.980405375,0.48489255,WDR70,0.176562267,0.67936116,TMEM19,0.873413284,0.3899049,DDX27,0.08500972,0.42518863,MZF1,0.3550334,0.9942175,MITD1,0.229759501,0.36671323,C22orf39,0.001918032,0.8950261
SLC25A39,0.223710301,0.11825246,TBX3,0.978877373,0.57614,IL4,0.980405375,0.25774565,CAND1,0.176894805,0.41810408,SLFN13,0.873538601,0.45579505,ASB1,0.08596653,1.0221795,RBM6,0.355127575,0.3395086,TMCO3,0.22990463,1.309384,MED8,0.001926069,1.2486846
GRK5,0.22395795,0.69586575,NXPE1,0.978877373,0.28799143,POU5F1,0.980425093,0.34897235,NDUFA2,0.176971981,0.17547403,OSBPL2,0.873538601,0.47514594,SCFD1,0.086067116,0.5313246,PPIL2,0.355174668,0.8675156,BCL2L1,0.230037722,0.49735948,COG4,0.001929203,1.3019015
BANP,0.224024023,0.566949,CATSPERB,0.978912106,0.33127296,ZNF578,0.980444812,0.19287853,LGALS8,0.17728577,0.5651462,C11orf24,0.874071234,0.4696547,UNC13D,0.086107377,0.46180537,SIN3A,0.355539775,0.6615962,LCP1,0.230182975,0.36128223,KIAA0040,0.001930771,1.0556402
VMA21,0.224437293,0.2714849,RASAL1,0.979354956,0.99705464,LRP6,0.980444812,0.13733701,RNF125,0.177483912,0.4509562,SLC26A6,0.874102567,0.6758435,MFNG,0.086559338,0.34727523,PLSCR1,0.355857964,0.5359868,MUS81,0.230291958,0.8281957,NUFIP2,0.001931444,1.01431
PIGU,0.225253028,0.71557236,APLNR,0.97938969,0.89898187,SLC4A5,0.980503969,0.14071445,TCP1,0.178312085,0.27036813,FRMD4A,0.874102567,0.7284051,SMPD3,0.086640246,2.3267207,ANKRD11,0.356070189,0.27455893,TPD52L2,0.231068006,0.6874922,SAR1A,0.001935484,0.6888765
PIGT,0.225406473,0.2398633,FAM227A,0.97938969,0.9778092,ZXDC,0.980711018,0.37301233,SERF2,0.178807451,0.18744694,CD302,0.874509916,1.393343,STK10,0.086810353,0.3289062,SPPL2B,0.356129155,1.0048395,KIF20B,0.231104429,0.65531504,NUDT4,0.001937058,0.77007943
SLC39A3,0.225763418,0.34663692,VSIG8,0.979407056,0.7342373,PPP1R14D,0.980740597,0.15024203,RRM2,0.178919292,1.2768844,TFR2,0.874603925,1.3380221,EPN1,0.086895508,0.8989698,CCDC28B,0.356589299,0.8928474,MSC,0.231189431,1.3804281,MED6,0.00194404,0.87379974
PPM1A,0.225900492,0.31397533,KCNH2,0.979407056,0.85054356,CCDC146,0.980918069,0.21330011,JMY,0.178958206,0.95082307,TNXB,0.874729272,1.2634436,KEAP1,0.086980729,0.9336418,BIN3,0.356612906,0.7861933,BIK,0.231456726,1.9417065,CDC45,0.001947426,4.054928
DCTN2,0.225971129,0.13396963,C5,0.979424423,0.62565696,RBAK-RBAKDN,0.98113498,0.21019857,CEP250,0.179381797,0.95868635,HOMER2,0.874760609,1.1911228,SREK1IP1,0.087066019,0.3937891,TM2D3,0.356778184,0.46800086,MRPS7,0.231505349,0.40470272,FAM76B,0.001958073,1.9972932
DERL1,0.226220562,0.13931672,EHHADH,0.97944179,0.5885203,ZNF133,0.981233577,0.33633372,PI4K2A,0.179762202,2.3807607,ZNF239,0.874917299,1.2188267,ARF4,0.087090399,0.3327969,COG2,0.35694351,0.98596585,UBXN6,0.231566137,0.7152072,GNB5,0.001961027,1.1002531
NONO,0.226578426,0.12088091,SGMS2,0.97944179,0.6468429,ATP9B,0.981647686,0.25966987,LONP2,0.179781726,0.43909433,VAT1,0.875042654,0.42364997,FBXO44,0.087257149,0.9182103,ZBED2,0.35694351,0.77370906,NARF,0.231626937,0.5047334,MED11,0.001963758,1.0284295
MDK,0.2270159,0.6246484,PSORS1C1,0.979459157,0.59907985,FOLR2,0.981923761,0.38009825,EDRF1,0.180079663,1.2096691,MATN2,0.875136672,1.086685,GXYLT1,0.087579173,1.1902467,SCAF11,0.357558002,0.20809817,TWSG1,0.231712076,2.5461109,PIGP,0.001969457,0.9690668
POLR3E,0.227161859,0.46782666,COL27A1,0.979476524,0.7682275,MAST3,0.98207166,0.2666225,TARBP1,0.180201875,1.212364,RBM12,0.875152342,0.37217715,PPM1B,0.087685365,0.4590244,PRRC2A,0.357569826,0.5544544,ZMYM6,0.231870249,1.8186121,ATG101,0.001975401,1.0492207
VPS13C,0.22716603,0.23992826,CACNA1D,0.979476524,0.48155376,C19orf73,0.98208152,0.3844587,RNF8,0.180505225,0.7060901,RIOK1,0.875230692,0.30794075,SAR1B,0.087791661,0.41510358,MRPS31,0.357617123,0.38056013,AGPAT1,0.232125923,0.9654535,CPSF3,0.001979756,1.5474467
JAZF1,0.227278674,0.5829435,LKAAEAR1,0.979476524,0.45994052,SLC11A1,0.982160399,0.4349736,TSEN54,0.180843271,0.31113487,ARL2BP,0.875277703,0.15881264,ARL2,0.08792263,0.44644147,BAZ1A,0.358232344,0.21482302,TMEM159,0.232272112,1.2233024,FANCG,0.00198826,2.9137735
BASP1,0.227888474,1.966524,OCM,0.979476524,0.49460676,ABHD1,0.982357598,0.2653181,IPO9,0.180946247,0.8026576,ILK,0.875309044,0.15660629,ETV1,0.088049655,2.3626223,LRRC41,0.358386253,0.70130354,BLVRA,0.232345231,0.7168719,NIFK,0.001991256,0.8506424
SP4,0.228181257,0.56330353,CYYR1,0.979493891,0.5418148,ZNF439,0.982604099,0.101970755,FASN,0.181019829,1.64555,PCTP,0.875371726,0.5739256,LIMD2,0.088197355,0.3866622,PDCD11,0.358954894,1.188033,TBC1D22A,0.232381797,0.86052734,TOR1AIP1,0.00199518,1.2066175
SUOX,0.22823566,1.9803387,AGBL2,0.979493891,0.5086546,ACVR1B,0.982633679,0.13027625,GATAD1,0.181279994,0.81492573,HIPK3,0.875497092,0.3823915,FAHD2A,0.088341143,1.0192959,MDH1,0.359002306,0.22159015,MORF4L1,0.232564686,0.37380397,NUP35,0.002000732,2.1580546
DPP3,0.228290073,0.5042918,CR2,0.979511257,0.6326192,QRSL1,0.9827027,0.23237585,KRT8,0.181574856,0.23048446,PISD,0.875559776,0.47123593,TMEM126A,0.088468656,0.52014303,PJA2,0.359393608,0.4356922,RDH11,0.232650069,0.5537023,MED30,0.002002354,0.7448761
MRPS18C,0.228503628,0.15849344,CEBPE,0.979511257,0.42487594,YOD1,0.983106965,0.3852856,MDFIC,0.181663384,0.550489,CARM1,0.875653804,0.61986655,UHRF1,0.088930585,1.9659746,TAGAP,0.359844529,0.23386283,DPAGT1,0.232857521,1.3201733,CAMK4,0.002004673,0.69669837
DYNC1LI1,0.228646076,0.29975164,LIME1,0.979511257,0.42925435,VPS37C,0.983205567,0.50550926,STIM2,0.18229384,0.5030911,MPP7,0.87587321,0.53062934,MRPS35,0.089029823,0.48161256,SYS1,0.359892015,0.41639125,PTGES2,0.233016249,0.5629022,PSMA6,0.00201281,1.0559434
PLAGL1,0.228687985,0.76664424,DNM3,0.979511257,0.42470485,ENDOG,0.983225288,0.3276272,GRAP2,0.182431968,0.28022805,ZNF14,0.875967244,0.51700205,RCN2,0.089153995,0.33068773,SAE1,0.360248287,0.4591757,SLC39A13,0.233872259,1.6897614,GDI1,0.002016073,0.97672963
TMEM167A,0.228700559,0.14229418,TG,0.979511257,0.45749387,TMEM62,0.983619699,0.36813107,CD274,0.182614613,2.147565,LRRC2,0.876045607,1.1028509,VRK1,0.089332218,0.49676841,VPS16,0.360319567,0.7153091,SVIP,0.234092736,0.33929232,SH3GLB1,0.002016306,0.6456865
PPP1R11,0.228885029,0.13847591,IQSEC2,0.979545991,0.3585566,ZNF551,0.983797185,0.1943305,DPH3,0.182649183,0.6245792,NUP133,0.876280703,0.5533067,MRPL39,0.089577223,1.0464606,MRPS27,0.361056654,0.6429634,IMPDH1,0.234386934,0.8876447,ISY1,0.002024252,1.0231452
GRAP,0.229107373,0.67511976,KLK7,0.979545991,0.5025907,NANOS1,0.983797185,0.5807508,PPP1R14B,0.183024825,0.6443301,VAV2,0.876421766,0.98883873,ARHGEF3,0.08994366,0.5323792,PSMB5,0.361401745,0.37492466,DHRS3,0.234448258,0.9867091,STAMBP,0.002028001,0.9985506
MKNK2,0.229687027,0.35025278,BICC1,0.979563358,0.27603865,CDS1,0.983816906,0.49998632,PIK3C2A,0.183183161,0.99196774,PWWP2B,0.876484461,0.8931094,TRIB3,0.09045367,1.4863724,EDARADD,0.361580321,1.3625776,VKORC1,0.234497326,0.39218628,HMGCS1,0.002029174,1.7754987
LGALS3BP,0.230617485,0.3125604,NXPE4,0.979563358,0.27758184,EHD3,0.983816906,0.73813903,FANCI,0.183996227,1.4507378,ENTPD6,0.87662553,0.35244492,RABGGTB,0.090667559,0.41942438,AMZ2,0.361818509,0.40705857,CCDC25,0.234546401,0.45838562,DUSP23,0.002032462,1.0602256
POLDIP2,0.230845243,0.36245283,NLGN2,0.979563358,0.4233166,ETV5,0.983816906,0.8864629,RBL1,0.184279442,1.1824824,UBA3,0.876876328,0.26224273,NME7,0.090734745,1.1868558,NFS1,0.362474032,1.4393051,NDRG1,0.234791884,0.5135026,PRPS2,0.002038109,1.4662946
BZW1,0.231381527,0.13516988,EPHX4,0.979580725,0.3316306,ST8SIA1,0.983836627,0.22283019,HAUS3,0.184363972,0.8527629,SLAMF8,0.876892003,0.8106786,ENPEP,0.090936544,6.1814213,BAZ2A,0.362796106,0.32120237,SCNM1,0.234914693,0.6410126,APPL1,0.002046606,1.0192769
ADAM15,0.231406885,0.94490266,LRRK2,0.979632826,0.10794768,CELSR1,0.983836627,0.6229029,CERS6,0.184458481,1.5879736,CD48,0.876986056,0.033631638,TANGO2,0.091206171,1.2933797,DTX3,0.362987049,0.9449184,EIF4G1,0.235012974,0.5234331,SUCLG2,0.002047316,0.6802323
FAM184A,0.231766338,2.314386,VWA1,0.979919382,0.9681167,PLEKHD1,0.983895789,0.63137895,ZMYND11,0.184468431,0.7649092,ZKSCAN8,0.877330931,0.81166255,TADA2A,0.091362342,1.6393154,TSPAN17,0.363393013,0.5085558,SNRNP35,0.235086703,0.72130823,RHOB,0.002052052,0.8508081
PDE6D,0.23182558,0.4803443,PLEKHA7,0.979954116,0.71100825,RGS17,0.983895789,0.5638635,LTN1,0.184543071,0.70541734,PHYHD1,0.877377961,2.8640194,PHYH,0.091514498,0.9110206,CHGB,0.363512468,3.690097,VAMP8,0.235258803,0.4149096,PSME3,0.002057274,1.3721926
RTN3,0.231867902,0.23932873,SCN1B,0.979971483,0.71880215,MTCP1,0.98391551,0.50908923,MGME1,0.184792034,0.69422644,CATSPER1,0.877377961,3.1289754,CHTOP,0.091751591,0.3931464,ATG12,0.363536362,0.30318484,CREBZF,0.235751006,0.59643537,DYNLL2,0.002067276,1.6370912
TMBIM1,0.232024542,0.23945907,MXRA5,0.980093053,0.5615074,TRIM5,0.98391551,0.12510617,KMT5B,0.185061193,0.7335015,SULT1A2,0.877377961,2.7165415,CD58,0.091870322,0.36926752,GPR137B,0.363548309,0.58291954,TMEM109,0.235824899,0.48998585,CIR1,0.002074927,0.6300986
CHD4,0.23236348,0.18844886,TNNC1,0.980127788,0.47004443,GPR160,0.98392537,0.36178303,AQR,0.185520428,0.71693546,HSD17B2,0.877409315,2.716562,CSGALNACT2,0.09216769,0.9157591,ALG3,0.363596101,0.63338137,SPPL2A,0.235849534,0.3814426,RAB35,0.002076125,0.96713805
TRIM14,0.232715499,0.37320426,GGT6,0.980127788,0.3901409,ALS2CL,0.98393523,0.4122655,TNKS2,0.18573536,0.71664727,DCBLD2,0.877409315,2.5505803,METAP1,0.092568228,0.7750231,CEP41,0.364026405,1.6962881,SCD,0.235972735,2.1005752,LRBA,0.002080442,0.78689504
SRPK1,0.233106131,0.22807983,AXL,0.980145155,0.4424239,ZNF777,0.983974672,0.34262756,SAMD1,0.186486561,1.1488165,TRPV1,0.877440669,2.475171,MTCH2,0.092871688,0.44763765,ZNF195,0.364074236,0.8921573,EIF2B2,0.236182281,1.206814,CTBP1,0.002083085,0.9888715
MLLT6,0.233403662,0.14874963,PRSS27,0.980162522,0.40205783,ARHGEF4,0.983994393,0.54535663,DAAM1,0.186516656,0.7457073,TFPI2,0.877440669,2.5416965,SRA1,0.092914493,0.45614257,HEXA,0.36418187,0.43942842,BRAT1,0.236527703,0.9254205,EIF4G2,0.002083325,0.90126246
LGMN,0.233620604,1.4061964,BSCL2,0.980249359,0.35893664,IGF1R,0.984014114,0.4477458,SKI,0.187219884,0.7746969,GALNT8,0.877566086,2.3527212,CTDNEP1,0.093103023,0.45980555,ZNF599,0.36444506,1.9096041,DRAM2,0.236651155,0.38149145,HIPK1,0.00209272,1.2398226
FIP1L1,0.233829173,0.20748065,CYP2J2,0.980483818,0.82545525,ARC,0.984014114,0.4290924,RRM1,0.187506759,0.64841396,CASP2,0.878099145,0.4326228,PDAP1,0.093115888,0.2836501,RDH10,0.364468993,1.8777145,RPP30,0.236799356,0.681318,MRPS25,0.002106034,1.2482095
DICER1,0.233952674,0.43290007,PKN3,0.980483818,0.6775468,GLS2,0.984014114,0.27912366,KRI1,0.187542011,0.6948973,MACROD1,0.878475456,0.42085412,LAMP2,0.093184528,0.5518469,F5,0.364899941,0.83189756,LYSMD2,0.237009421,0.40150443,UBE2L6,0.002107005,0.60182583
SHOC2,0.233965453,0.24744332,NBPF10,0.980561971,0.5793654,MUC4,0.984043695,0.25866583,CMTR2,0.187894806,0.7641746,HIRIP3,0.878553857,0.19150436,CCNA2,0.093666146,1.7282538,LSM2,0.365726816,0.2217656,UNC50,0.23713305,0.417959,C11orf58,0.002118694,0.9905999
SYT11,0.234353306,0.4601818,PLEKHG6,0.980570655,0.56992,CA13,0.984053556,0.22779681,AHSA1,0.188339014,0.31104466,WWTR1,0.878553857,0.6769469,TMEM50B,0.094084872,0.41564405,CSDE1,0.365930718,0.18139467,PCBP4,0.237170148,1.4280019,ZC3H18,0.00212505,1.0967706
ZBTB8OS,0.23438316,0.16106571,GAS8,0.98060539,0.46139535,SMIM11A,0.984053556,0.28621513,CCDC186,0.188450187,0.47321,PPARA,0.878663621,0.384422,LENG1,0.094301296,0.50408477,RNF5,0.365942715,0.37842518,UNG,0.237405195,0.95601875,RB1,0.002125784,1.4827693
PBX3,0.234651964,1.0244673,FMNL2,0.980657492,0.5202756,PTAFR,0.984053556,0.34389585,PHC3,0.188510848,0.5261942,METRN,0.878773387,0.6456171,BRCA1,0.094474723,1.627612,KDM5A,0.366134691,0.24544665,EMD,0.23741757,0.57058144,PTS,0.002144223,1.4822427
COL1A1,0.234809936,0.38466448,PXDN,0.980692228,0.458091,SLC2A6,0.984309928,0.34552127,ZNF593,0.188652444,0.6300691,SLC25A15,0.878867474,1.6269425,WDR82,0.094492079,0.38562948,RBM10,0.366314726,0.6387939,WIPF1,0.23755373,0.3342798,DDX1,0.002152877,0.7785698
UBE2J1,0.235117555,0.3276024,SORT1,0.980692228,0.34564543,KCTD12,0.98434937,0.15036519,EIF2S2,0.188859923,0.17279774,GEMIN7,0.879055654,0.2478405,NRM,0.09455719,1.3101184,CCDC174,0.366843148,0.4813112,IFNGR2,0.237764268,1.0584352,CLPTM1,0.002168287,1.0897682
TIMM13,0.235258642,0.17525682,MTRNR2L1,0.980692228,0.5136601,KIR3DL2,0.984487417,0.07985277,ADCY3,0.189260175,1.0768737,TNC,0.879118382,1.4447888,IGFLR1,0.09473969,1.0427933,MCMBP,0.367420149,0.7132686,ST14,0.237875782,2.4140553,SRGAP2C,0.002168536,1.5953106
CD44,0.235416902,0.14704028,NUMBL,0.980761698,0.47747415,FBP1,0.984684628,0.25585467,ERICH1,0.189290599,0.31757882,NANP,0.879181111,1.4495447,SMUG1,0.094817991,0.9507633,STXBP2,0.367456231,0.28245962,VPS16,0.238347027,0.8580253,MYL6,0.0021843,0.5334207
IFIH1,0.235648012,0.6259209,TPD52L1,0.980761698,0.31001428,FBXO48,0.984862119,0.38371766,VRK1,0.189655973,0.63735044,ZC2HC1C,0.879337936,1.2752411,SLC38A5,0.094939895,1.3019375,ZNF83,0.368118113,0.6637498,NFIC,0.239565385,0.74229926,MAPRE2,0.002192851,1.1636331
HAUS1,0.235656574,0.31131685,ZNF774,0.980796433,0.30988345,FIBCD1,0.985148078,0.51329356,NCOR1,0.190286445,0.19332622,CNR2,0.8795575,1.0826815,INTS7,0.095105537,1.8640742,PPTC7,0.368142196,0.9321364,USP39,0.239802104,1.0096245,DDX23,0.002209537,0.85513157
RCN2,0.235785041,0.17272623,CPT1B,0.9808138,0.3119938,EME2,0.98530585,0.39709583,SRGAP2,0.190520722,1.2645643,ERMN,0.879745705,1.0711529,CD81,0.095297623,0.64451766,ATP1A1,0.368515599,0.1759035,TMEM14C,0.240001575,0.35997868,PWP1,0.002240689,1.0533054
TMEM259,0.235785041,0.25421053,FCHO2,0.980883271,0.26890913,SLC7A7,0.985345293,0.40279946,FBRS,0.190852127,0.7336627,RNF32,0.879745705,1.1088148,PSPC1,0.095332581,0.6052105,TSPAN14,0.368527648,0.26508483,RASSF1,0.240026517,0.589157,RALA,0.002240689,0.7209895
SGTA,0.23648391,0.51222944,GTF2IRD1,0.980900638,0.2777235,SPR,0.985345293,0.48233858,TDRD3,0.190887842,0.6299793,ZNF419,0.879918231,0.60035783,SLC52A2,0.095428768,0.67924714,PSMD4,0.368587898,0.207031,DYNC1H1,0.240151255,0.4190178,TIA1,0.002250731,0.9978175
SNRPG,0.236689991,0.14321353,BCORL1,0.981265361,0.40424845,LRFN4,0.985562229,0.27954364,MAPKAPK3,0.191700411,0.40822878,CC2D1A,0.880012339,0.40171444,ENOPH1,0.095730951,0.45550454,CCT4,0.36913042,0.2156651,PCBP1,0.240525742,0.31778264,RAB21,0.002267821,1.0808198
NUP210,0.236720055,0.2516135,LRP11,0.981274045,0.43913138,OXSM,0.985611533,0.21988751,HENMT1,0.19176696,0.592363,SLC51A,0.880028024,0.93462855,EXOSC1,0.095967976,0.30550858,ZNF581,0.369166606,0.61488783,DCUN1D1,0.24163914,0.81977695,SMARCA4,0.002278236,1.1137441
ALDH3A2,0.236818856,0.6989471,E2F5,0.981343516,0.40059334,PRCD,0.985650977,0.89951116,SNX29,0.19179256,1.0316559,MCTP2,0.880043709,0.35513204,LSM5,0.096086665,0.3120959,RAD50,0.369214857,0.3508112,COASY,0.241802074,0.7025552,THUMPD3,0.002282153,1.4509244
FDPS,0.236973559,0.13636278,CYBB,0.981716927,0.37730333,PADI1,0.985650977,1.5461154,FAAP20,0.192274312,0.23304184,PTPN18,0.880137819,0.17415585,MCMBP,0.096231888,0.7684273,RPF1,0.369540655,0.40051988,PGS1,0.242140723,1.3720502,FIGNL1,0.002283198,2.881623
UBE3A,0.237705068,0.23295683,TBC1D16,0.981760347,0.29206294,TBXA2R,0.985650977,1.0121071,TNPO2,0.192633641,1.2011136,CRELD2,0.88020056,0.15823174,IFIT5,0.096403742,1.1705,DHTKD1,0.369673439,1.3734227,KRIT1,0.242278787,0.60689455,TP53I13,0.002283983,1.2324134
SURF1,0.239328654,0.15951888,CBWD3,0.981934028,0.22682442,GRIN2B,0.985650977,0.96965706,PIKFYVE,0.192931744,0.809729,ZNF701,0.880294674,0.26561236,SLTM,0.096505206,0.27112517,BCKDHB,0.36991494,1.0678328,CNP,0.242567645,0.8461643,MDM1,0.002292103,1.8993399
SNAP47,0.239380599,0.26194522,ZNF813,0.981968765,0.45117396,ZNF711,0.985650977,0.8671796,ARHGAP35,0.193044907,0.79831934,TRIM68,0.880388788,1.1174071,PUM3,0.09668629,0.65838814,EXOC6,0.369987409,0.7800249,AP2A1,0.242567645,0.5653822,UCHL3,0.002294991,1.0162295
MYO5A,0.239666439,0.50839263,SH2D4A,0.981986133,0.5383414,FOXA2,0.985650977,1.5546925,NAA35,0.193235335,1.0803648,LENG1,0.880404474,0.2062391,MED15,0.096761453,0.4943936,GLT8D1,0.370241122,0.51710325,TACO1,0.24275616,1.223244,RAB6A,0.002300513,0.6341494
PCBP1,0.239835457,0.13185433,HSD11B1L,0.982185868,0.55984676,COL4A4,0.985650977,1.6562649,KPNA1,0.193601138,0.6798417,TVP23B,0.881063327,0.35935485,FKBP3,0.096805689,0.37730414,PAGE5,0.370337802,3.2038698,CAMK2G,0.242856744,0.67091745,MVB12A,0.002312917,1.1039511
SNRNP40,0.239861467,0.19269839,SPIRE2,0.982194552,0.3539239,IL20RB,0.985650977,1.4770002,GAR1,0.193879694,0.6962021,COMTD1,0.881361406,0.2344357,EID1,0.096858793,0.36107492,METAP1,0.370519121,0.6048036,HSF1,0.242907047,0.5079331,BMS1,0.002323256,1.4808621
CALU,0.23988748,0.39315584,VCAN,0.98221192,0.4868199,CYP39A1,0.985650977,1.0121783,ZNF827,0.194267067,0.9835571,ST20,0.881486918,0.41174328,ATP6V1D,0.097213415,0.43947038,GRB2,0.371111813,0.19537146,TMEM45B,0.243183844,2.339473,SREK1IP1,0.002326712,0.7130962
GPBP1L1,0.23993951,0.21183635,SENP3,0.982229288,0.44087732,CHRM3,0.985650977,1.1339732,FBXO33,0.194484243,1.1652913,ZNF616,0.881659502,0.83350545,DNTTIP2,0.097262256,0.47995067,BCL2L13,0.371269156,0.70062256,MRFAP1,0.24334751,0.34226373,COQ7,0.002344061,1.2472486
KIF3B,0.239991549,0.56190884,ZHX3,0.982385603,0.43118158,PPP1R14C,0.985670698,1.0375539,TYW3,0.194489416,0.7087731,CNPY4,0.881690882,0.42301798,RACGAP1,0.09729779,1.5158871,TM2D1,0.371402325,0.3496786,EPS8L2,0.243738103,0.7427719,HTATIP2,0.002349691,0.7190811
TMEM208,0.240104326,0.20410271,ARL11,0.982472445,0.37260523,LRRC49,0.985670698,0.6735693,PPIL3,0.194660183,0.5137092,EXT2,0.881894853,0.62655586,FAM104A,0.09731556,0.3048657,SPAG9,0.371474975,0.57013243,ACBD3,0.243965101,0.9754455,CISD1,0.002351033,0.9010198
RBM25,0.240343017,0.12262751,TAB1,0.982698236,0.19876115,CAP2,0.985670698,0.6566468,CCNB1,0.195256139,1.4220091,ZBTB41,0.882036069,0.7866773,TBRG4,0.097346665,0.72782964,ODF2,0.371487084,0.90933275,C1QBP,0.24423012,0.2946247,EEF1E1,0.002364226,0.9715165
IBTK,0.240490654,0.33371207,C3,0.982958764,0.12845095,B3GALNT1,0.985670698,0.87421614,MIB1,0.195287269,1.0227551,PDZD3,0.882192979,2.551913,MRPL16,0.097391114,0.47288537,TRMT1,0.37160819,0.57259035,C1orf174,0.245077006,0.6243607,TMX1,0.002366657,0.6413303
